module,class_name,operation_name,operation_value,base_kind,input_count,output_count,input_data_types,output_data_types,signature_inputs,signature_outputs
Base,PowNumberNodeViewModel,Pow,2325,OneOutputNodeViewModel,2,1,Dynamic|Number,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Trigonometry,PythagoreanCathetusNodeViewModel,PythagoreanCathetus,2062,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Trigonometry,PythagoreanSideNodeViewModel,PythagoreanSide,2063,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Trigonometry,RadToDegSameNodeViewModel,,,OneOutputNodeViewModel,1,1,Number,Number,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,RandomNodeViewModel,Random,261,OneOutputNodeViewModel,2,1,Dynamic|Dynamic,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Base,RemainderNumberNodeViewModel,Mod,2327,OneOutputNodeViewModel,2,1,Dynamic|Number,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Trigonometry,RepeatStringNodeViewModel,StringRepeat,3591,OneOutputNodeViewModel,2,1,String|Number,String,"[{""name"": ""input1"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
Trigonometry,ReplaceStringNodeViewModel,StringReplace,3592,OneOutputNodeViewModel,3,1,String|String|String,String,"[{""name"": ""inputString"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}, {""name"": ""oldValue"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}, {""name"": ""newValue"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]","[{""name"": ""result"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
WorldSession,ResetSessionStateNodeViewModel,ResetWorldSessionState,5010,NoOutputsNodeViewModel,1,0,Number,,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]",[]
Trigonometry,ReverseStringNodeViewModel,StringReverse,3590,OneOutputNodeViewModel,1,1,String,String,"[{""name"": ""input"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]","[{""name"": ""output"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
Base,RoundNodeViewModel,Round,2326,OneOutputNodeViewModel,1,1,Dynamic,Dynamic,"[{""name"": ""input"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
WorldSession,SaveSessionStateNodeViewModel,SaveWorldSessionState,5009,NoOutputsNodeViewModel,1,0,Number,,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]",[]
Base,SelectNodeViewModel,Select,2568,OneOutputNodeViewModel,11,1,Number|Dynamic|Dynamic|Dynamic|Dynamic|Dynamic|Dynamic|Dynamic|Dynamic|Dynamic|Dynamic,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input3"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input4"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input5"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input6"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input7"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input8"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input9"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input10"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input11"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
WorldSession,SessionStateNodeViewModel,WorldSessionState,5001,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""inputStart"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""inputEnd"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,SignNodeViewModel,Sign,2318,OneOutputNodeViewModel,1,1,Dynamic,Dynamic,"[{""name"": ""input"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Trigonometry,SinNodeViewModel,Sin,2049,OneOutputNodeViewModel,1,1,Number,Number,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,SizeEntityNodeViewModel,Size,1567,OneOutputNodeViewModel,2,1,Entity|Vector,Vector,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Base,SplitVectorNodeViewModel,,,FourOutputNodeViewModel,1,4,Vector,Number|Number|Number|Number,"[{""name"": ""input"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""output2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""output3"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""output4"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,SqrMagnitudeVectorNodeViewModel,SqrMagnitude,1284,OneOutputNodeViewModel,1,1,Vector,Number,"[{""name"": ""input"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,SqrNodeViewModel,Sqr,2321,OneOutputNodeViewModel,1,1,Dynamic,Dynamic,"[{""name"": ""input"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Base,SqrtNodeViewModel,Sqrt,2322,OneOutputNodeViewModel,1,1,Dynamic,Dynamic,"[{""name"": ""input"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Trigonometry,StringToNumberNodeViewModel,ToNumber,3598,OneOutputNodeViewModel,1,1,String,Number,"[{""name"": ""input"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Trigonometry,SubstringNodeViewModel,Substring,3593,OneOutputNodeViewModel,3,1,String|Number|Number,String,"[{""name"": ""input1"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input3"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
Base,SubtractNumbersNodeViewModel,Subtract,2305,OneOutputNodeViewModel,2,1,Dynamic|Dynamic,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Trigonometry,SymbolToAsciiNumberNodeViewModel,ToAscii,3596,OneOutputNodeViewModel,2,1,String|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Memory,SystemTimeNodeViewModel,SystemTime,5003,TwoOutputNodeViewModel,0,2,,Number|Number,[],"[{""name"": ""time"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""dateTime"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Trigonometry,TanNodeViewModel,Tan,2053,OneOutputNodeViewModel,1,1,Number,Number,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,TemperatureEntityNodeViewModel,Temperature,1541,OneOutputNodeViewModel,2,1,Entity|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,TimeNodeViewModel,Time,260,FourOutputNodeViewModel,0,4,,Number|Number|Number|Number,[],"[{""name"": ""output1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""output2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""output3"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""output4"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Memory,TimerNodeViewModel,Timer,5008,TwoOutputNodeViewModel,2,2,Number|Number,Number|Number,"[{""name"": ""trigger"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""reset"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""scaledTime"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""unscaledTime"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Memory,ToDateNodeViewModel,ToDate,3600,OneOutputNodeViewModel,1,1,Number,String,"[{""name"": ""days"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
Trigonometry,ToStringNodeViewModel,ToString,3595,OneOutputNodeViewModel,1,1,Dynamic,String,"[{""name"": ""input"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
Memory,ToTimeFormatNodeViewModel,ToTime,3599,OneOutputNodeViewModel,1,1,Number,String,"[{""name"": ""seconds"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""time"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
Memory,TriggerNodeViewModel,Trigger,4102,OneOutputNodeViewModel,1,1,Number,Number,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Trigonometry,TrimStringNodeViewModel,StringTrim,3594,OneOutputNodeViewModel,1,1,String,String,"[{""name"": ""input"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]","[{""name"": ""output"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
Trigonometry,UppercaseStringNodeViewModel,StringUppercase,3589,OneOutputNodeViewModel,1,1,String,String,"[{""name"": ""input"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]","[{""name"": ""output"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
Base,VariableNodeViewModel,Variable,768,OneOutputNodeViewModel,2,1,Dynamic|Number,Dynamic,"[{""name"": ""input"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""writeInput"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Base,VectorAngleBetweenNodeViewModel,VectorAngleBetween,1296,OneOutputNodeViewModel,2,1,Vector|Vector,Number,"[{""name"": ""input1"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}, {""name"": ""input2"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,VectorCrossProductNodeViewModel,VectorCross,1286,OneOutputNodeViewModel,2,1,Vector|Vector,Vector,"[{""name"": ""input1"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}, {""name"": ""input2"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Base,VectorDotProductNodeViewModel,VectorDot,1288,OneOutputNodeViewModel,2,1,Vector|Vector,Number,"[{""name"": ""input1"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}, {""name"": ""input2"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Trigonometry,VectorHsvToRgbNodeViewModel,HsvToRgb,1298,OneOutputNodeViewModel,1,1,Vector,Vector,"[{""name"": ""input"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Trigonometry,VectorPositiveNodeViewModel,VectorPositive,1290,OneOutputNodeViewModel,1,1,Vector,Vector,"[{""name"": ""input"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Trigonometry,VectorRgbToHsvNodeViewModel,RgbToHsv,1297,OneOutputNodeViewModel,1,1,Vector,Vector,"[{""name"": ""input"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Base,VectorRotateNodeViewModel,VectorRotate,1292,OneOutputNodeViewModel,2,1,Vector|Number,Vector,"[{""name"": ""input1"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Trigonometry,VectorShiftLeftNodeViewModel,VectorShiftLeft,1294,OneOutputNodeViewModel,1,1,Vector,Vector,"[{""name"": ""input"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Trigonometry,VectorShiftRightNodeViewModel,VectorShiftRight,1295,OneOutputNodeViewModel,1,1,Vector,Vector,"[{""name"": ""input"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Base,VelocityAtPositionEntityNodeViewModel,VelocityAtPosition,1560,OneOutputNodeViewModel,2,1,Entity|Vector,Vector,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Base,VelocityEntityNodeViewModel,Velocity,1538,OneOutputNodeViewModel,2,1,Entity|Vector,Vector,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Base,VoltageEntityNodeViewModel,,,OneOutputNodeViewModel,1,1,Entity,Number,"[{""name"": ""input"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,WorldAngleToLocalEntityNodeViewModel,WorldAngleToLocal,1554,OneOutputNodeViewModel,2,1,Entity|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,WorldPositionToLocalEntityNodeViewModel,WorldPositionToLocal,1553,OneOutputNodeViewModel,2,1,Entity|Vector,Vector,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Base,XorNodeViewModel,Xor,2565,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
